x,t,T
0.437,957.0,3.4532351705797555
0.292,506.0,2.301271065396588
0.738,1629.0,4.308076361637954
0.004,117.0,2.7004787634237473
0.531,2932.0,10.253373757491277
0.034,3334.0,19.57933660918266
0.164,80.0,0.3978909325196131
0.083,2132.0,13.561866739657214
0.451,1573.0,5.95647359565401
0.376,3129.0,12.910291449389227
0.307,1816.0,8.563119476331465
0.368,3265.0,13.519961149220201
0.127,3358.0,17.85128962552052
0.044,482.0,5.27691160714632
0.47000000000000003,410.0,1.0824397239247439
0.962,2465.0,5.309939188366827
0.674,2438.0,7.241172943057951
0.47500000000000003,553.0,1.5957384443096327
0.621,2695.0,8.530121994215751
0.275,2403.0,11.523696706337768
0.23700000000000002,3105.0,14.93566234319746
0.584,471.0,1.1005679748127326
0.268,763.0,3.9154304818118666
0.28800000000000003,2764.0,12.795334184144563
0.578,1383.0,4.289606052295978
0.218,3276.0,15.911454584298818
0.41400000000000003,2029.0,8.191425423184372
0.098,2104.0,13.153091565977869
0.797,914.0,2.0718106530539604
0.307,87.0,0.19595832442955538
0.075,1366.0,10.006135554887617
0.721,318.0,0.6599004187180206
0.193,996.0,6.095529049092001
0.986,3101.0,6.495812755457186
0.318,3567.0,15.361187414526508
0.465,2086.0,7.877888341002853
0.15,665.0,4.783378771817875
0.069,239.0,2.85388473881512
0.092,3239.0,18.053656678752308
0.21,2875.0,14.476854193180188
0.6950000000000001,781.0,1.8513113560224566
0.807,2129.0,5.406927620876258
0.789,2850.0,7.513856524749941
0.549,1956.0,6.611439892017581
0.905,1273.0,2.8030499992147004
0.514,2846.0,10.148378135747716
0.333,817.0,3.585457861126235
0.892,2582.0,6.041681313658715
0.913,2799.0,6.4065231595778664
0.226,52.0,0.12525134219811918
0.10400000000000001,1163.0,8.404595924605832
0.87,93.0,0.19129515700888894
0.057,674.0,6.361602653314728
0.47000000000000003,2974.0,11.116128431038275
0.809,2266.0,5.771535106325953
0.977,3286.0,6.964388769047628
0.631,3423.0,10.716077906737633
0.105,1237.0,8.784497287530161
0.519,1013.0,3.205225729673205
0.638,1415.0,4.0841377706989155
0.406,2601.0,10.535288014460852
